Giriş Ögesi,Kalite,Giriş Ürün Satış Fiyatı,"İşlenmiş Ürün Satış Fiyatı
(Normal Kalite)",Değer Artışı (g),Verimlilik (g/dakika),Yaklaşık g/gün [1]
Pancar,Altın,150,225,75,13,21
Pancar,İridyum,200,225,25,4,6
Patates,Normal,80,180,100,17,27
Patates,Gümüş,100,180,80,13,21
Patates,Altın,120,180,60,10,16
Patates,İridyum,160,180,20,3,5
Patlıcan,Normal,60,135,75,13,21
Patlıcan,Gümüş,75,135,60,10,16
Patlıcan,Altın,90,135,45,8,13
Patlıcan,İridyum,120,135,15,3,5
Pirinç,Normal,100,200,100,167,267
Portakal,Normal,100,300,200,20,32
Portakal,Gümüş,125,300,175,18,29
Portakal,Altın,150,300,150,15,24
Portakal,İridyum,200,300,100,10,16
Sarımsak,Normal,60,135,75,13,21
Sarımsak,Gümüş,75,135,60,10,16
Sarımsak,Altın,90,135,45,8,13
Sarımsak,İridyum,120,135,15,3,5
Şeftali,Normal,140,420,280,28,45
Şeftali,Gümüş,175,420,245,25,40
Şeftali,Altın,210,420,210,21,34
Şeftali,İridyum,280,420,140,14,22
Şerbetçi Otu,Normal,25,300,275,122,195
Şerbetçi Otu,Gümüş,31,300,269,120,192
Şerbetçi Otu,Altın,37,300,263,117,187
Şerbetçi Otu,İridyum,50,300,250,111,178
Tatlı Patates,Normal,160,360,200,33,53
Tatlı Patates,Gümüş,200,360,160,27,43
Tatlı Patates,Altın,240,360,120,20,32
Tatlı Patates,İridyum,320,360,40,7,11
Turp,Normal,90,202,112,19,30
Turp,Gümüş,112,202,90,15,24
Turp,Altın,135,202,67,11,18
Turp,İridyum,180,202,22,4,6
Uşkun,Normal,220,660,440,44,70
Uşkun,Gümüş,275,660,385,39,62
Uşkun,Altın,330,660,330,33,53
Uşkun,İridyum,440,660,220,22,35
Üzüm,Normal,80,240,160,16,26
Üzüm,Gümüş,100,240,140,14,22
Üzüm,Altın,120,240,120,12,19
Üzüm,İridyum,160,240,80,8,13
Yaban Havucu,Normal,35,78,43,7,11
Yaban Havucu,Gümüş,43,78,35,6,10
Yaban Havucu,Altın,52,78,26,4,6
Yaban Havucu,İridyum,70,78,8,1,2
Yaban Mersini,Normal,50,150,100,10,16
Yaban Mersini,Gümüş,62,150,88,9,14
Yaban Mersini,Altın,75,150,75,8,13
Yaban Mersini,İridyum,100,150,50,5,8
Yeşil Fasulye,Normal,40,90,50,8,13
Yeşil Fasulye,Gümüş,50,90,40,7,11
Yeşil Fasulye,Altın,60,90,30,5,8
Yeşil Fasulye,İridyum,80,90,10,2,3
Yıldızmeyvesi,Normal,750,2250,1500,150,240
Yıldızmeyvesi,Gümüş,937,2250,1313,131,210
Yıldızmeyvesi,Altın,1125,2250,1125,113,181
Yıldızmeyvesi,İridyum,1500,2250,750,75,120
Qi Meyvesi,Normal,1,3,2,0,0
